HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs	Gene Family Name
HGNC:13886	ABCG5		STSL	64240	NM_022436	ATP binding cassette subfamily G
HGNC:13887	ABCG8		GBD4	64241	NM_022437	ATP binding cassette subfamily G
HGNC:75	ABCR~withdrawn					
HGNC:17553	ABHD1		LABH1, FLJ36128	84696	NM_032604	Abhydrolase domain containing
HGNC:18717	ABHD2		LABH2	11057		Abhydrolase domain containing
HGNC:18718	ABHD3		LABH3	171586		Abhydrolase domain containing
HGNC:20154	ABHD4		FLJ12816	63874		Abhydrolase domain containing
HGNC:21396	ABHD5		CGI-58, NCIE2	51099	NM_016006	Abhydrolase domain containing
HGNC:21398	ABHD6			57406	NM_020676	Abhydrolase domain containing
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	79575	NM_024527	Abhydrolase domain containing
HGNC:25656	ABHD10		FLJ11342	55347	NM_018394	Abhydrolase domain containing
HGNC:16407	ABHD11	WBSCR21	PP1226	83451		Abhydrolase domain containing
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	171022	NR_026690	Long non-coding RNAs
HGNC:40012	ABHD11-AS2~withdrawn					
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	NM_015600	Abhydrolase domain containing
HGNC:19837	ABHD12B	C14orf29	BEM46L3	145447		Abhydrolase domain containing
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	NM_032859	Abhydrolase domain containing
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	25864	NM_015407	Abhydrolase domain containing
HGNC:38856	ABHD14A-ACY1			100526760		
HGNC:28235	ABHD14B		MGC15429, CIB	84836	NM_032750	Abhydrolase domain containing
HGNC:26971	ABHD15			116236	NM_198147	Abhydrolase domain containing
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13			
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	7920		Abhydrolase domain containing
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	140701		Abhydrolase domain containing
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	81926	NM_031213	Abhydrolase domain containing
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	NG_011738	
HGNC:33538	ABHD17AP2~withdrawn					
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		648359	XR_041784	
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		729495		
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		91219		
HGNC:34044	ABHD17AP6	FAM108A7P		644988		
HGNC:38508	ABHD17AP7	FAM108A8P		100133212		
HGNC:38509	ABHD17AP8	FAM108A9P		647144		
HGNC:38510	ABHD17AP9	FAM108A10P		100132251		
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	51104	NM_016014	Abhydrolase domain containing
HGNC:26925	ABHD17C	FAM108C1		58489	NM_021214	Abhydrolase domain containing
HGNC:26111	ABHD18	C4orf29	FLJ21106	80167	NM_001039717	
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	10006	NM_005470	
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		326268		
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	NM_005759	
HGNC:29859	ABI3		NESH, SSH3BP3	51225	NM_016428	
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	25890		Fibronectin type III domain containing
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	25	NM_007313	SH2 domain containing|Abl family tyrosine kinases
HGNC:77	ABL2	ABLL	ARG	27	NM_005158	SH2 domain containing|Abl family tyrosine kinases
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	3983		LIM domain containing
HGNC:19195	ABLIM2		KIAA1808	84448	NM_001130083	LIM domain containing
HGNC:29132	ABLIM3		KIAA0843	22885	NM_014945	LIM domain containing
HGNC:79	ABO		A3GALNT, A3GALT1	28	NM_020469	Glycosyltransferase family 6|Blood group antigens
HGNC:81	ABR		MDB	29		Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing|C2 domain containing
HGNC:30655	ABRA		STARS	137735	NM_139166	
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	58527	NM_021243	
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	84142	NM_139076	BRCA1 A complex
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	23172	NM_032182	BRISC complex
HGNC:17369	ABT1		Esf2	29777		
HGNC:39557	ABT1P1			100420695	NG_025142	
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	80325	NM_172027	BTB domain containing|Ankyrin repeat domain containing
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	25841	NM_145804	BTB domain containing|Ankyrin repeat domain containing
HGNC:82	ACAA1			30	NM_001607	
HGNC:83	ACAA2		DSAEC	10449	NM_006111	
HGNC:84	ACACA	ACAC, ACC	ACC1	31	NM_198836	
HGNC:85	ACACB		HACC275, ACC2, ACCB	32	NM_001093	
HGNC:86	ACAD~withdrawn					
HGNC:87	ACAD8			27034	NM_014384	Acyl-CoA dehydrogenase family
HGNC:21497	ACAD9		NPD002, MGC14452	28976	NM_014049	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex
HGNC:21597	ACAD10		MGC5601	80724	NM_025247	Acyl-CoA dehydrogenase family
HGNC:30211	ACAD11		FLJ12592	84129	NM_032169	Acyl-CoA dehydrogenase family
HGNC:88	ACADL		LCAD, ACAD4	33	NM_001608	Acyl-CoA dehydrogenase family
HGNC:89	ACADM		MCAD, MCADH, ACAD1	34		Acyl-CoA dehydrogenase family
HGNC:90	ACADS		SCAD, ACAD3	35	NM_000017	Acyl-CoA dehydrogenase family
HGNC:91	ACADSB		SBCAD, ACAD7	36	NM_001609	Acyl-CoA dehydrogenase family
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	37	NM_000018	Acyl-CoA dehydrogenase family
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	176	NM_001135	Sushi domain containing|Hyalectan proteoglycans|V-set domain containing|C-type lectin domain containing
HGNC:16467	ACAP1	CENTB1	KIAA0050	9744	NM_014716	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	23527	NM_012287	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing
HGNC:41426	ACAP2-IT1					
HGNC:16754	ACAP3	CENTB5	KIAA1716	116983	NM_030649	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing
HGNC:93	ACAT1	ACAT	THIL	38	NM_000019	
HGNC:94	ACAT2			39	NM_005891	
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	64746	NM_022735	A-kinase anchoring proteins
HGNC:40701	ACBD3-AS1		RP11-275I14.4	107985353	NR_146443	
HGNC:23337	ACBD4		FLJ13322	79777	NM_024722	
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996	91452	NM_145698	
HGNC:23339	ACBD6		MGC2404	84320	NM_032360	Ankyrin repeat domain containing
HGNC:17715	ACBD7		FLJ38219, bA455B2.2	414149		
HGNC:96	ACBP~withdrawn					
HGNC:97	ACC~withdrawn					
HGNC:98	ACCN~withdrawn					
HGNC:14594	ACCPN~withdrawn					
HGNC:23989	ACCS		PHACS, ACS	84680	NM_032592	
HGNC:34391	ACCSL			390110	NM_001031854	
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1	65057	NM_022914	Shelterin complex
HGNC:2707	ACE	DCP1	ACE1, CD143	1636		CD molecules
HGNC:13557	ACE2			59272		
HGNC:44365	ACE3P			100129123		
HGNC:18356	ACER1	ASAH3		125981	NM_133492	Alkaline ceramidases
HGNC:23675	ACER2	ASAH3L	FLJ41587, ALKCDase2	340485	NM_001010887	Alkaline ceramidases
HGNC:16066	ACER3	PHCA	FLJ11238, APHC	55331	NM_018367	Alkaline ceramidases
HGNC:106	ACH~withdrawn					
HGNC:107	ACHAP~withdrawn					
HGNC:108	ACHE	YT		43	NM_015831	Blood group antigens
HGNC:109	ACHM1~withdrawn					
HGNC:110	ACHM2~withdrawn					
HGNC:111	ACHM3~withdrawn					
HGNC:112	ACHRD~withdrawn					
HGNC:113	ACHRG~withdrawn					
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152	22985	NM_014977	ASAP complex
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	NM_002036	CD molecules|Atypical chemokine receptors|Blood group antigens
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	NM_001296	Atypical chemokine receptors
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159	57007	NM_020311	Atypical chemokine receptors
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	NM_016557	Atypical chemokine receptors
HGNC:114	ACLS			46		
HGNC:115	ACLY		ATPCL, CLATP, ACL	47	NM_001096	
HGNC:116	ACMG~withdrawn					
HGNC:19288	ACMSD			130013		
HGNC:117	ACO1	IREB1	IRP1, IREBP	48	NM_002197	
HGNC:118	ACO2		ACONM	50	NM_001098	
HGNC:33904	ACOD1	IRG1	CAD	730249	NM_001258406	
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2	641371	NM_001037161	Acyl-CoA thioesterases
HGNC:18431	ACOT2		Mte1, ZAP128	10965	NM_006821	Acyl-CoA thioesterases
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B	122970	NM_152331	Acyl-CoA thioesterases
HGNC:33159	ACOT6	C14orf42		641372	NM_001037162	Acyl-CoA thioesterases
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	NM_007274	Acyl-CoA thioesterases
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	NM_183386	Acyl-CoA thioesterases
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2	23597	NM_012332	Acyl-CoA thioesterases
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	NM_015547	Acyl-CoA thioesterases|StAR related lipid transfer domain containing
HGNC:24436	ACOT12		Cach, THEAL, STARD15	134526	NM_130767	Acyl-CoA thioesterases|StAR related lipid transfer domain containing
HGNC:20999	ACOT13	THEM2	HT012	55856	NM_018473	Acyl-CoA thioesterases
HGNC:119	ACOX1		PALMCOX	51		
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox	8309	NM_003500	
HGNC:121	ACOX3			8310		
HGNC:25621	ACOXL		FLJ11042	55289	NM_018308	
HGNC:41112	ACOXL-AS1			400997	NR_122074	
HGNC:122	ACP1		HAAP, LMW-PTP, LMWPTP	52	NM_004300	Class II Cys-based phosphatases|Acid phosphatases
HGNC:123	ACP2		LAP	53	NM_001610	Acid phosphatases
HGNC:14376	ACP4	ACPT		93650	NM_033068	Acid phosphatases
HGNC:124	ACP5		TRAP, HPAP	54		Acid phosphatases
HGNC:29609	ACP6		LPAP, ACPL1	51205	NM_016361	Acid phosphatases
HGNC:33781	ACP7		FLJ16165, PAPL1, PAPL	390928	NM_001004318	
HGNC:125	ACPP		ACP3, ACP-3, PAP	55	NM_001099	Acid phosphatases
HGNC:126	ACR			49	NM_001097	
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	84519	NM_032489	
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365	56	NM_001612	
HGNC:128	ACS3~withdrawn					
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	NM_015162	Acyl-CoA synthetase family
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	81616	NM_030924	Acyl-CoA synthetase family
HGNC:26101	ACSF2		FLJ20920, ACSMW	80221	NM_025149	Acyl-CoA synthetase family
HGNC:27288	ACSF3			197322	NM_174917	Acyl-CoA synthetase family
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	NM_001995	Acyl-CoA synthetase family
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194	2181	NM_004457	Acyl-CoA synthetase family
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	NM_004458	X-linked mental retardation|Acyl-CoA synthetase family
HGNC:16526	ACSL5	FACL5	ACS5, ACS2	51703	NM_016234	Acyl-CoA synthetase family
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	NM_015256	Acyl-CoA synthetase family
HGNC:18049	ACSM1	BUCS1	MACS1	116285	NM_052956	Acyl-CoA synthetase family
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530	123876	NM_001010845	Acyl-CoA synthetase family
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046	348158	NM_182617	Acyl-CoA synthetase family
HGNC:10522	ACSM3	SAH	SA	6296	NM_005622	Acyl-CoA synthetase family
HGNC:32016	ACSM4			341392	NM_001080454	Acyl-CoA synthetase family
HGNC:26060	ACSM5		FLJ20581	54988	NM_017888	Acyl-CoA synthetase family
HGNC:51295	ACSM5P1			100421779	NG_026352	
HGNC:31665	ACSM6	C10orf129	bA310E22.3	142827	NM_207321	
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	NM_032501	Acyl-CoA synthetase family
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	NM_018677	Acyl-CoA synthetase family
HGNC:24723	ACSS3		FLJ21963	79611	NM_024560	Acyl-CoA synthetase family
HGNC:129	ACTA1	ACTA	NEM3	58	NM_001100	Actins
HGNC:130	ACTA2		ACTSA	59	NM_001613	Actins
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1	100132116		
HGNC:131	ACTA3~withdrawn					
HGNC:132	ACTB			60	NM_001101	Actins
HGNC:17780	ACTBL2		DKFZp686D0972	345651	NM_001017992	
HGNC:134	ACTBP1			643309	NG_022596	
HGNC:135	ACTBP2			62	NG_003019	
HGNC:136	ACTBP3			63		
HGNC:137	ACTBP4			64		
HGNC:138	ACTBP5~withdrawn					
HGNC:139	ACTBP6			66	NG_008793	
HGNC:140	ACTBP7			67		
HGNC:141	ACTBP8		ACTBP2	68	NG_000840	
HGNC:142	ACTBP9			69	NG_003162	
HGNC:31819	ACTBP10			446207		
HGNC:33971	ACTBP11			644220		
HGNC:150	ACTBP12	ACTGP5		100462767	NG_026958	
HGNC:44626	ACTBP13			389120		
HGNC:45086	ACTBP14			389976	NG_022182	
HGNC:143	ACTC1	ACTC	CMD1R	70	NM_005159	Actins
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26		71	NM_001614	Deafness associated genes|Actins
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1		73	NG_001068	
HGNC:147	ACTG1P2	ACTL2, ACTGP2		74	NG_004636	
HGNC:148	ACTG1P3	ACTGP3		75	NG_000842	
HGNC:149	ACTG1P4	ACTGP4		648740		
HGNC:151	ACTG1P6	ACTGP6		78		
HGNC:152	ACTG1P7	ACTGP7		79		
HGNC:153	ACTG1P8	ACTGP8		80		
HGNC:154	ACTG1P9	ACTGP9		82	NG_001069	
HGNC:155	ACTG1P10	ACTL1, ACTGP10		83	NG_003039	
HGNC:37651	ACTG1P11			414754	NG_004636	
HGNC:44496	ACTG1P12			100418921		
HGNC:49058	ACTG1P13			100418920		
HGNC:49751	ACTG1P14			100418910	NG_023870	
HGNC:51495	ACTG1P15			100418951		
HGNC:51496	ACTG1P16			100418960		
HGNC:51497	ACTG1P17			283693		
HGNC:51498	ACTG1P18			100418924		
HGNC:51499	ACTG1P19			644160		
HGNC:51500	ACTG1P20			644961		
HGNC:51501	ACTG1P21			100131291		
HGNC:51502	ACTG1P22			100131953		
HGNC:51503	ACTG1P23			442097		
HGNC:49661	ACTG1P24	POTENP		441783		
HGNC:145	ACTG2	ACTL3, ACTA3	ACTSG	72	NM_001615	Actins
HGNC:156	ACTL2~withdrawn					
HGNC:157	ACTL3~withdrawn					
HGNC:158	ACTL4~withdrawn					
HGNC:159	ACTL5~withdrawn					
HGNC:24124	ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	86	NM_004301	Actin related proteins|INO80 complex |SRCAP complex
HGNC:160	ACTL6B	ACTL6	BAF53B	51412	NM_016188	Actin related proteins
HGNC:161	ACTL7A			10881	NM_006687	Actin related proteins
HGNC:162	ACTL7B		Tact1	10880	NM_006686	Actin related proteins
HGNC:24018	ACTL8		CT57	81569	NM_030812	Actin related proteins
HGNC:28494	ACTL9		MGC33407	284382	NM_178525	Actin related proteins
HGNC:16127	ACTL10	C20orf134		170487		Actin related proteins
HGNC:163	ACTN1			87	NM_001102	Actinins
HGNC:20131	ACTN1-AS1	C14orf84		161159		
HGNC:164	ACTN2			88	NM_001103	Actinins
HGNC:165	ACTN3			89	NM_001104	Actinins
HGNC:166	ACTN4	FSGS1		81		Actinins
HGNC:44028	ACTN4P1			344978		
HGNC:44032	ACTN4P2			391026		
HGNC:51621	ACTP1					
HGNC:167	ACTR1A		ARP1, Arp1A	10121		Actin related proteins
HGNC:168	ACTR1B	CTRN2	Arp1B	10120	NM_005735	Actin related proteins
HGNC:169	ACTR2		ARP2	10097	NM_001005386	Actin related protein 2/3 complex |Actin related proteins
